"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0.00500739792998897,0.597785056215587,0.419,0.321,1,"4","Fars2"
0.00502280795558022,0.271591913057639,0.569,0.46,1,"4","Cfl2"
0.00504756673456091,0.488873085561854,0.695,0.579,1,"4","Htatsf1"
0.0050704767686541,0.37079635536269,0.713,0.614,1,"4","Azi2"
0.00507286715299654,0.607978459204437,0.407,0.315,1,"4","H2afy2"
0.00508442790553468,0.594799785464051,0.437,0.333,1,"4","Isy1"
0.00512683636274801,0.826678709155261,0.407,0.309,1,"4","Wipf2"
0.00516921610289873,0.339047202360368,0.599,0.498,1,"4","Lztfl1"
0.00518048078245132,0.465203698606413,0.551,0.486,1,"4","Trappc3"
0.00527785759965965,0.522777451110588,0.323,0.232,1,"4","Tmem141"
0.0052855836317614,0.302312481830707,0.713,0.602,1,"4","Mrpl54"
0.00532240375375777,0.329029186601252,0.437,0.335,1,"4","Krr1"
0.00534347802332827,0.613957416817687,0.329,0.235,1,"4","Daxx"
0.00534357112560668,0.373069925551704,0.287,0.193,1,"4","B3gnt9-ps"
0.00535258842569903,0.315024411168837,0.389,0.293,1,"4","2610524H06Rik"
0.0053569457371874,0.459514681320271,0.515,0.4,1,"4","Itpa"
0.00538384535507289,0.316494157580079,0.437,0.335,1,"4","Ralgds"
0.00541774874924661,1.20254400573994,0.299,0.207,1,"4","Srp54b"
0.00541987086149653,0.605950035042158,0.269,0.178,1,"4","Zfp97"
0.0054317397887611,0.333619695557862,0.575,0.465,1,"4","Mdm2"
0.0054407019821431,0.642576405687648,0.269,0.183,1,"4","Zfp35"
0.0054665108846255,0.520939639302629,0.497,0.393,1,"4","Agpat1"
0.00546701601528329,0.604720771886499,0.263,0.18,1,"4","5330434G04Rik"
0.00547360682241175,0.622824478164734,0.503,0.403,1,"4","Ccndbp1"
0.00554456696404687,0.398365536183299,0.593,0.497,1,"4","Chmp4b"
0.0055548021177799,0.744302511823401,0.425,0.319,1,"4","Mib1"
0.00556195161460807,0.741763187392334,0.377,0.284,1,"4","Tsen15"
0.00556660846790134,0.307197961103192,0.401,0.301,1,"4","Dnajb14"
0.00558391250636469,0.716230317980532,0.311,0.223,1,"4","Kbtbd4"
0.0056290907751599,0.392471744173691,0.407,0.313,1,"4","Cby1"
0.00569447830916558,0.759674270137869,0.305,0.212,1,"4","Rpgrip1l"
0.005703340316104,0.578403521911413,0.353,0.254,1,"4","Grik5"
0.00572799184380765,0.335455776757178,0.617,0.51,1,"4","Dnajb1"
0.00578195945324786,0.585873970326881,0.323,0.232,1,"4","Btbd6"
0.00578776774873102,0.587645296598555,0.305,0.207,1,"4","Rrp8"
0.00579704004444075,0.577988666048566,0.449,0.364,1,"4","1810009A15Rik"
0.00581664403124802,0.26830386714989,0.611,0.529,1,"4","Cdc16"
0.00582664882747318,0.380666106312355,0.623,0.533,1,"4","Ppp1cc"
0.00586348608069732,0.425105442879697,0.581,0.465,1,"4","Usp5"
0.00589282864036696,0.276995864630736,0.623,0.485,1,"4","Zfp9"
0.00589788879002029,0.369227335359323,0.287,0.194,1,"4","Zfp26"
0.00591944416728534,0.421410115903009,0.533,0.418,1,"4","Hsd17b4"
0.00592421969155279,0.380407375721188,0.407,0.31,1,"4","Cln3"
0.00599213775261357,0.345181050783619,0.527,0.434,1,"4","Ube2g2"
0.00601464863109393,0.672685653677582,0.653,0.552,1,"4","Rabgap1"
0.00601935357603482,0.605200108352909,0.509,0.413,1,"4","Rab22a"
0.00602588220173,0.666383821994883,0.395,0.308,1,"4","Nudt21"
0.00603293544256457,0.354380130594943,0.383,0.279,1,"4","Prr3"
0.00604163314689747,0.784193391527114,0.449,0.375,1,"4","Ascc1"
